Descripción del campo	Nombre del campo xml	Longitud Mínima	Longitud Máxima	Tipo de Campo	Formato	Requisito	Formato	Mascara	TablaCampo	DependeCampo	Verifica/Acción	Orden	OrdenColumna
Retención de IVA - Bienes	valorRetBienes	4	15	Numérico	2 decimales	obligatorio	########0.00					22	22
Retención IVA 50%	valRetServ50	4	15	Numérico	2 decimales	obligatorio	########0.00					23	23
Retención de IVA - Servicios	valorRetServicios	4	15	Numérico	2 decimales	obligatorio	########0.00					24	24
Retención IVA 100%	valRetServ100	4	15	Numérico	2 decimales	obligatorio	########0.00					25	25
Tipo de Identificación del Proveedor Reembolso	tpIdProvReemb	2	2	Caracter	Tabla ED1-1	condicional	00	0	0			26	41
No. de Identificación del Proveedor Reembolso	idProvReemb	3	13	Caracter		condicional	0000000000###					27	42
Código tipo de comprobante Reembolso	tipoComprobanteReemb	2	2	Caracter	Tabla 2	condicional	00		0			28	43
No. de serie del comprobante de venta Reembolso - establecimiento	establecimientoReemb	3	3	Caracter	enteros	condicional	000					29	44
No. de serie del comprobante de venta Reembolso - punto de emisión	puntoEmisionReemb	3	3	Caracter	enteros	condicional	000					30	45
No. secuencial del comprobante de venta Reembolso	secuencialReemb	1	9	Caracter	enteros	condicional	######0					31	46
Fecha de emisión del comprobante de venta Reembolso	fechaEmisionReemb	10	10	Fecha	Dd/mm/aaaa	condicional	dd/mm/yyyy	##/##/####				32	47
No. de autorización del comprobante de venta Reembolso	autorizacionReemb	3	37	Caracter	enteros	condicional	#######000					33	48
Base Imponible tarifa 0% IVA Reembolso	baseImponibleReemb	4	15	Numérico	2 decimales	condicional	########0.00					34	49
Base Imponible tarifa IVA diferente de 0% Reembolso	baseImpGravReemb	4	15	Numérico	2 decimales	condicional	########0.00					35	50
Base Imponible no objeto de IVA - REEMBOLSO	baseNoGraIvaReemb	4	15	Numérico	2 decimales	condicional	########0.00					36	51
Base imponible exenta de IVA Reembolso	baseImpExeReemb	4	15	Numérico	2 decimales	condicional	########0.00					37	52
Total  Bases  Imponibles Reembolso	totbasesImpReemb	4	15	Numérico	2 decimales	condicional	########0.00					38	53
Monto ICE Reembolso	montoIceReemb	4	15	Numérico	2 decimales	condicional	########0.00					39	54
Monto IVA Reembolso	montoIvaRemb	4	15	Numérico	2 decimales	condicional	########0.00					40	55
Pago Local o al Exterior	pagoLocExt	2	2	Caracter	Tabla 18	obligatorio	00		0			41	26
Tipos de regímen fiscal del exterior	tipoRegi	2	2	Caracter	Enteros	condicional	00					42	27
País de residencia o establecimiento permanente a quién se efectúa el pago régimen general	paisEfecPagoGen	1	500	Caracter	Texto	condicional						43	28
País de residencia o establecimiento permanente a quién se efectúa el pago paraíso fiscal	paisEfecPagoParFis	1	500	Caracter	Texto	condicional						44	29
Denominación del régimen fiscal preferente o jurisdicción de menor imposición.	denopago	2	500	Alfanumérico	enteros	condicional						45	30
País al que se Efectúa el Pago	paisEfecPago	0	3	Caracter	Tabla 19	condicional	>&&&		0	21	2	46	31
Aplica Convenio de Doble Tributación en el pago	aplicConvDobTrib	2	2	Alfabético	Tabla sino	condicional	>&&		0	21	2	47	32
Pago al exterior sujeto a retención en aplicación a la norma legal	pagExtSujRetNorLeg	2	2	Alfabético	Tabla sino	condicional	>&&		0	21	2	48	33
El pago es a un régimen fiscal preferente o de menor imposición?	pagoRegFis	2	2	Alfabético	Tabla sino	condicional	>&&		0	21	2	49	34
Forma de pago	formaPago	2	2	Código	Tabla 16	condicional	00		0			50	35
Concepto de Retención en la fuente de Impuesto a la Renta	codRetAir	3	5	Caracter	Tabla 10	condicional			0			51	61
Base Imponible Renta	baseImpAir	4	12	Numérico	2 decimales	condicional	########0.00					52	62
Porcentaje de retención de Renta	porcentajeAir	1	5	Numérico	Tabla 10	condicional	#0.00		2	49	=	53	63
Monto de retención de Renta	valRetAir	4	12	Numérico	2 decimales	condicional	########0.00					54	64
Fecha de pago del dividendo	fechaPagoDiv	10	10	Fecha	Dd/mm/aaaa	condicional	dd/mm/yyyy	##/##/####				55	65
Impuesto a la Renta pagado por la sociedad correspondiente al dividendo	imRentaSoc	4	15	Numérico	2 decimales	condicional	########0.00					56	66
Año en que se generaron las utilidades atribuibles al dividendo.	anioUtDiv	4	4	Numérico	enteros	condicional	0000					57	67
Cantidad de cajas estandar de banano	NumCajBan	1	7	Numérico	2 decimales	condicional	########0.00					58	68
Precio de la caja de banano	PrecCajBan	1	2	Numérico	2 decimales	condicional	########0.00					59	69
No. de serie del comprobante de retención - establecimiento	estabRetencion1	3	3	Caracter	enteros	condicional	000					60	56
No. de serie del comprobante de retención - punto de emisión	ptoEmiRetencion1	3	3	Caracter	enteros	condicional	000					61	57
No. secuencial del comprobante de retención	secRetencion1	1	9	Caracter	enteros	condicional	######0					62	58
No. de autorización del comprobante de retención	autRetencion1	3	37	Caracter	números	condicional						63	59
Fecha de emisión del comprobante de retención	fechaEmiRet1	10	10	Fecha	Dd/mm/aaaa	condicional	dd/mm/yyyy	##/##/####				64	60
Código tipo de comprobante modificado por una Nota de Crédito o Débito	docModificado	2	2	Caracter	Tabla 2	condicional	00		0			65	36
No. de serie del comprobante modificado - establecimiento	estabModificado	3	3	Caracter	enteros	condicional	000					66	37
No. de serie del comprobante modificado - punto de emisión	ptoEmiModificado	3	3	Caracter	enteros	condicional	000					67	38
No. secuencial del comprobante modificado	secModificado	1	9	Caracter	enteros	condicional	######0					68	39
No. de autorización del comprobante modificado	autModificado	3	37	Caracter	enteros	condicional	#######000					69	40
